----- Derivative of Residuals w.r.t design variable -----
Node #      R1_B                 R2_B                 R3_B                 R4_B
   70    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   71    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   72    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   73    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   74    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   75    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   76    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   77    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   78    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   79    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   80    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   81    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   82    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   83    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   84    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   85    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   86    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   87    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   88    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   89    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   90    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   91    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   92    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   93    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   94   -1.6778667324e-05   -1.9288660194e-05    4.5794541137e-05   -4.9801690500e-05
   95   -6.9165990141e-06   -7.4258992877e-06    1.0645211948e-06   -2.0714891817e-05
   96   -1.0063969637e-05   -1.1637445638e-05    2.2492705953e-05   -3.0719516239e-05
   97   -5.1184663304e-06   -2.2409100818e-06    9.4827945866e-06   -1.3241833256e-05
